id,invoice_number,po_id,supplier_id,lender_id,amount,invoice_date,due_date,description,invoice_fingerprint,status,is_fraudulent,fraud_type
74,INV-202504-000074,83.0,17,1,1452667.63,2025-04-11,2025-05-11,Horizontal systemic task-force,9f0f1a5ce806c85fae826fa28b1b3c49,paid,False,
75,INV-202506-000075,84.0,17,7,2818013.19,2025-06-01,2025-07-01,Ameliorated asymmetric software,a3c88f121a7abb51568af7553f49ad33,approved,False,
76,INV-202601-000076,85.0,17,3,3723852.39,2026-01-23,2026-02-22,Visionary multimedia concept,e849845458d5a9fb6bf29e54156bd8bd,approved,False,
77,INV-202508-000077,86.0,17,4,1189562.34,2025-08-09,2025-09-08,Advanced encompassing emulation,6780c436a134c34d09e98f1bf5246288,approved,False,
78,INV-202509-000078,87.0,17,6,1069155.51,2025-09-27,2025-10-27,Devolved mission-critical knowledge user,4de821ff0c53a79a9d10a09fb145228e,approved,False,
79,INV-202512-000079,88.0,17,5,4377682.21,2025-12-28,2026-01-27,Reactive leadingedge capacity,20e564b4bceddc95d6a4762528b426d3,approved,False,
80,INV-202508-000080,89.0,17,3,617190.97,2025-08-27,2025-09-26,Operative next generation hierarchy,942e164b457e8c17139d09ec0b30b4e6,approved,False,
81,INV-202512-000081,91.0,17,2,762590.64,2025-12-16,2026-01-15,Centralized system-worthy intranet,2eca624cc39ca772e90d27c04bcee85a,approved,False,
82,INV-202503-000082,92.0,17,4,2626769.99,2025-03-11,2025-04-10,Re-contextualized tertiary migration,be191bb9b39a0d59b21e6df5df43f623,paid,False,
83,INV-202505-000083,93.0,17,1,3188860.66,2025-05-13,2025-06-12,Devolved 24/7 budgetary management,545353429f97f05624159ec4883cdecc,paid,True,dilution
84,INV-202509-000084,96.0,19,1,6006557.23,2025-09-30,2025-10-30,Face-to-face zero administration open system,b674564c7dd1f750d81b8e1bf2dee418,paid,False,
85,INV-202506-000085,97.0,34,4,4707101.05,2025-06-30,2025-07-30,Devolved discrete capability,50d1b70a806449e0c9c440e70e81ec0d,approved,False,
86,INV-202505-000086,99.0,34,3,2855944.99,2025-05-08,2025-06-07,Diverse leadingedge functionalities,4a0c98db749205b2db7fc78867638efb,paid,False,
87,INV-202508-000087,100.0,34,2,4058587.2,2025-08-01,2025-08-31,Organized disintermediate moratorium,cb74d7b4db470b63fe51f6722276eda5,paid,False,
88,INV-202505-000088,101.0,34,2,2553769.7,2025-05-17,2025-06-16,Intuitive zero administration customer loyalty,a0652273dd05fc2ae8d241224cfe22a3,approved,False,
89,INV-202511-000089,103.0,34,6,916545.92,2025-11-17,2025-12-17,Front-line attitude-oriented middleware,824c23790bd44deac0363c3ea0d78b25,approved,False,
90,INV-202503-000090,104.0,34,2,2629953.16,2025-03-31,2025-04-30,Cross-group non-volatile software,c416729cddcdc21fd81a7fff6b82e48e,approved,False,
91,INV-202603-000091,105.0,34,8,868103.52,2026-03-09,2026-04-08,Stand-alone secondary service-desk,e612f9a75751f8b9b964725ca89e71bc,paid,False,
92,INV-202504-000092,106.0,34,6,3032437.89,2025-04-12,2025-05-12,Cloned actuating capability,01b780c06a6b5a4c5acf81522631c11f,approved,False,
93,INV-202505-000093,107.0,34,6,4615005.07,2025-05-11,2025-06-10,Grass-roots context-sensitive flexibility,1cc86d3ba4f2bfdbfb23cb10c5c1ac37,approved,False,
94,INV-202512-000094,108.0,34,1,2627691.88,2025-12-25,2026-01-24,Intuitive static Internet solution,cd3adb2393422974876acadfd78b8023,approved,False,
95,INV-202510-000095,109.0,34,4,4526130.41,2025-10-29,2025-11-28,Public-key mission-critical structure,e4dc08e9520449ffab5798ffe5967e76,approved,False,
96,INV-202507-000096,110.0,34,3,4658071.08,2025-07-21,2025-08-20,De-engineered well-modulated leverage,7d19b979a57be2b41621757e5f118713,paid,False,
97,INV-202512-000097,111.0,25,2,752524.87,2025-12-26,2026-01-25,Centralized solution-oriented framework,0b1cb68782240ef76d0c77344c03281f,paid,False,
98,INV-202602-000098,112.0,25,1,1209651.17,2026-02-02,2026-03-04,Reduced content-based approach,7a4a8ca230991c1cac72f3e5969504dc,approved,False,
99,INV-202510-000099,113.0,25,4,2787707.51,2025-10-15,2025-11-14,Reduced explicit access,85b93be8edef7a8c512a90c9b3cfaf7a,approved,False,
100,INV-202504-000100,114.0,25,7,1458925.96,2025-04-29,2025-05-29,Devolved 24hour website,1a877c0707b72dce69f2cbe23d6b6b1e,paid,False,
101,INV-202602-000101,115.0,25,3,1803635.44,2026-02-15,2026-03-17,Compatible hybrid matrices,8885526d1dc10ff2deaebaa4c51457b8,approved,False,
102,INV-202510-000102,116.0,25,8,615445.41,2025-10-17,2025-11-16,Profit-focused zero tolerance structure,5200f00c3510b54b7a51c1d2c2fc5172,paid,False,
103,INV-202602-000103,117.0,25,6,2111291.66,2026-02-21,2026-03-23,Exclusive maximized Internet solution,8326bd63601a69ca2b250fb97092affd,paid,True,dilution
104,INV-202601-000104,118.0,25,2,414832.79,2026-01-07,2026-02-06,Ergonomic scalable artificial intelligence,b304886bb149a79c08424e2848ac254d,approved,False,
105,INV-202504-000105,119.0,25,4,999964.8,2025-04-10,2025-05-10,Synchronized asymmetric project,6a1936d79422d37a404c49cc56219222,approved,False,
106,INV-202604-000106,120.0,25,6,874985.84,2026-04-09,2026-05-09,Multi-channeled mobile monitoring,387e06c99b11e85071c7fa5e9ec0a679,approved,False,
107,INV-202504-000107,121.0,25,3,2603533.45,2025-04-03,2025-05-03,Monitored cohesive monitoring,a3a33732d5df9825f877609f99c0c22e,paid,False,
108,INV-202504-000108,122.0,37,7,2639882.4,2025-04-20,2025-05-20,Customer-focused optimizing emulation,5c83e1a7471aee6d3dacb40d93dd3a6c,approved,False,
109,INV-202506-000109,123.0,37,4,2979065.61,2025-06-09,2025-07-09,Business-focused non-volatile contingency,0ba79b68529b2a1ced3c80158e60ef61,approved,False,
110,INV-202512-000110,124.0,37,5,7340406.55,2025-12-21,2026-01-20,Fundamental non-volatile standardization,2ee35ed891dec93d6eb916f6484fa051,approved,False,
111,INV-202510-000111,125.0,31,7,558877.72,2025-10-22,2025-11-21,Assimilated 3rdgeneration open system,b3db57e7fbd64e00c4e656fee843165e,approved,False,
112,INV-202507-000112,126.0,31,8,1532661.26,2025-07-15,2025-08-14,Intuitive multi-state approach,40a4412fc97025e4d4a768c8cf9ceacd,approved,False,
113,INV-202601-000113,127.0,31,5,315143.71,2026-01-03,2026-02-02,Function-based modular process improvement,6ac62f903a15ec85e046f967e79ddabf,paid,False,
114,INV-202509-000114,128.0,19,3,1651767.96,2025-09-26,2025-10-26,Stand-alone contextually-based conglomeration,cb78dfc508a08086d5e992447421eb7c,paid,False,
115,INV-202509-000115,129.0,19,6,938573.32,2025-09-26,2025-10-26,Persistent directional application,2babd919c513ab632aaf553afdadd3ea,approved,False,
116,INV-202509-000116,130.0,19,1,2367215.71,2025-09-23,2025-10-23,Upgradable upward-trending firmware,2ec3b3d91016c826a3a150f34a23830e,approved,False,
117,INV-202510-000117,131.0,19,6,653794.26,2025-10-22,2025-11-21,Open-architected national info-mediaries,9fe5aedf8e1c8df006b7e5fecfa3d66f,paid,False,
118,INV-202510-000118,132.0,19,4,885168.38,2025-10-14,2025-11-13,Multi-channeled secondary interface,184bd96703335c0afc36edac8d29f4e3,approved,False,
119,INV-202507-000119,133.0,19,7,419897.27,2025-07-25,2025-08-24,Re-engineered national algorithm,6b2b95e8988c54df1d55f616e9c8a144,approved,False,
120,INV-202511-000120,134.0,19,6,956985.47,2025-11-04,2025-12-04,Synergistic multimedia hub,aa5507801afefbd3cd7699a5b4e0b528,approved,False,
121,INV-202508-000121,135.0,19,4,845061.25,2025-08-29,2025-09-28,Seamless 4thgeneration solution,9fc092250811883460c373bcd693e4ba,approved,False,
122,INV-202510-000122,136.0,19,2,1695149.41,2025-10-25,2025-11-24,Optional content-based monitoring,acdabc94feeab333342c9a30e7c445b3,paid,False,
123,INV-202510-000123,137.0,19,3,968411.95,2025-10-25,2025-11-24,Reverse-engineered cohesive encoding,e6f11445f153208a2f1b0fbf2044fba8,approved,False,
124,INV-202505-000124,138.0,19,4,2219091.73,2025-05-13,2025-06-12,User-centric encompassing matrices,5ace1510c941dbe02136c325622df26c,approved,False,
125,INV-202601-000125,139.0,29,7,5775571.13,2026-01-22,2026-02-21,Reduced 3rdgeneration challenge,64e88d59725f7ee470f80c162ea1038f,approved,False,
126,INV-202601-000126,140.0,29,5,4603338.97,2026-01-05,2026-02-04,Customizable exuding strategy,9dfb4b02ae0400dc4743b5644a37095b,approved,False,
127,INV-202510-000127,141.0,29,7,4534233.12,2025-10-05,2025-11-04,Virtual explicit access,518b929134375965e0fce022cb951e00,approved,False,
128,INV-202510-000128,142.0,29,3,4291844.84,2025-10-16,2025-11-15,Polarized value-added synergy,546c1734f0981a6416cc826abd3dab12,approved,False,
129,INV-202507-000129,143.0,29,4,9521540.47,2025-07-23,2025-08-22,Centralized intermediate leverage,b2bf512c377d1a6dd984d3aaff4b6983,paid,False,
130,INV-202512-000130,144.0,29,7,9889573.51,2025-12-11,2026-01-10,Exclusive multi-state knowledgebase,4454826a78fe2ae9ee0593afa3c1e10c,paid,False,
131,INV-202605-000131,145.0,29,8,11121739.49,2026-05-14,2026-06-13,Balanced full-range moderator,634860107a464cc6907f7589b588e846,approved,False,
132,INV-202601-000132,146.0,27,7,8995678.1,2026-01-07,2026-02-06,Phased real-time firmware,009b9b14892892033503ee84cc2ca855,approved,True,dilution
133,INV-202503-000133,147.0,27,7,11869610.94,2025-03-18,2025-04-17,Intuitive static archive,e66d6045ffe50fdae548b8e4e9011c37,paid,False,
134,INV-202505-000134,148.0,27,4,10611882.74,2025-05-08,2025-06-07,Virtual modular initiative,7bd493c7355affd73be23a035e9d106b,approved,False,
135,INV-202507-000135,149.0,27,7,2818411.04,2025-07-18,2025-08-17,Exclusive coherent approach,2abfc7bf16daf3195b01beca3338e9a6,approved,False,
136,INV-202604-000136,150.0,30,8,1342501.38,2026-04-05,2026-05-05,Focused demand-driven capability,67335c84d442c592aba812d9394ba908,approved,False,
137,INV-202510-000137,151.0,30,4,2835163.78,2025-10-24,2025-11-23,Stand-alone asymmetric function,39e8074e165ae28cf8645375bff25c4c,paid,False,
138,INV-202508-000138,152.0,30,5,2590902.77,2025-08-24,2025-09-23,Profit-focused multi-tasking task-force,7f3039576ca3a263abdee77735f27e50,approved,False,
139,INV-202602-000139,153.0,30,2,748429.22,2026-02-07,2026-03-09,Right-sized systemic parallelism,2316ee4bd2ad0f3757b3df232328a5d9,approved,False,
140,INV-202503-000140,154.0,30,8,3567786.66,2025-03-29,2025-04-28,Optimized disintermediate alliance,b886bc1d62493cddfb39b3acb6301f4b,paid,False,
141,INV-202509-000141,155.0,30,8,4454172.81,2025-09-14,2025-10-14,Right-sized well-modulated interface,3f31777418f1fb394685e1bed0c1ca4c,paid,False,
142,INV-202508-000142,156.0,30,4,3836940.01,2025-08-11,2025-09-10,Enterprise-wide local Graphical User Interface,2f73d555dfae04906430a79a08145f2b,approved,False,
143,INV-202505-000143,157.0,30,5,5455564.17,2025-05-19,2025-06-18,Configurable multimedia contingency,41e2153311d5e97fec5945a287b3814a,approved,False,
144,INV-202602-000144,158.0,30,7,615738.15,2026-02-25,2026-03-27,Team-oriented 24/7 superstructure,69f4660d3ce956fd51c05965dc49a6bd,approved,False,
145,INV-202508-000145,159.0,30,8,4342315.45,2025-08-21,2025-09-20,Future-proofed user-facing Graphical User Interface,ac02afc18211999a0f0ab3c83cae639d,paid,False,
146,INV-202601-000146,160.0,30,8,1636613.3,2026-01-08,2026-02-07,Robust 3rdgeneration pricing structure,705d59755598703fe42b882febe39df3,paid,False,
147,INV-202509-000147,161.0,30,2,4471321.04,2025-09-09,2025-10-09,Balanced disintermediate orchestration,0dffa5ebe6dd7d3467b459cde7d85cfd,approved,False,
148,INV-202512-000148,162.0,26,3,4192247.49,2025-12-07,2026-01-06,Automated upward-trending conglomeration,9bee25d95fe1c54b33827d90b3931bff,approved,False,
149,INV-202601-000149,163.0,26,3,1992829.77,2026-01-11,2026-02-10,Vision-oriented bifurcated paradigm,5b6dad302e318f038243e102fad5a4fe,approved,False,
150,INV-202601-000150,164.0,26,7,3398932.35,2026-01-10,2026-02-09,Persistent analyzing complexity,3dac6324f759116317f3d8878d4cb77f,paid,False,
151,INV-202601-000151,165.0,26,8,1599300.74,2026-01-12,2026-02-11,Versatile static success,15c3950e3c847adcb4dc93c7fdfdaa14,approved,False,
152,INV-202507-000152,166.0,26,7,2245959.15,2025-07-21,2025-08-20,Ergonomic zero tolerance process improvement,ee890a0d501aab15e9cf4ceff4fcc248,approved,False,
153,INV-202507-000153,167.0,26,5,3149836.75,2025-07-31,2025-08-30,Focused explicit complexity,2781263b1572232577321c73d122fc1f,approved,False,
154,INV-202602-000154,168.0,26,6,1555343.71,2026-02-20,2026-03-22,Assimilated human-resource superstructure,caeb7058e6c722238e560c462639019e,paid,False,
155,INV-202511-000155,169.0,21,4,1434223.78,2025-11-30,2025-12-30,Enterprise-wide uniform matrix,6f1353d698235e3201ffd6bbcdee7acc,paid,False,
156,INV-202506-000156,171.0,21,8,2118736.38,2025-06-03,2025-07-03,Face-to-face reciprocal function,e0a5ac6ae2301a07156d726c6f2589a1,paid,False,
157,INV-202506-000157,172.0,21,3,2869991.03,2025-06-19,2025-07-19,Grass-roots background paradigm,539581ce3ed3579b0c4b3a077bdc0fd0,approved,False,
158,INV-202505-000158,173.0,21,1,2373346.99,2025-05-12,2025-06-11,Inverse high-level ability,02f5910ac39d50c362c2eefc4c2ba75a,approved,False,
159,INV-202509-000159,174.0,21,2,2679364.71,2025-09-02,2025-10-02,Customizable tangible infrastructure,d23acd4e0f752afd9bfa5c78133ca12d,approved,False,
160,INV-202512-000160,175.0,21,2,2220903.46,2025-12-31,2026-01-30,Triple-buffered zero administration data-warehouse,9d3af2ec727deba2621f03665589174c,paid,False,
161,INV-202509-000161,176.0,21,8,1000682.83,2025-09-03,2025-10-03,Phased bifurcated model,2d5597711adc67a4c0a06b841edb6ee8,paid,False,
162,INV-202511-000162,177.0,21,4,672172.53,2025-11-07,2025-12-07,Programmable real-time orchestration,f302fe168a7de817d444528206a35c75,approved,False,
163,INV-202511-000163,178.0,21,5,1505952.75,2025-11-30,2025-12-30,Down-sized systemic website,7435a0a45c5c92e767e65d53238dc19e,approved,False,
164,INV-202509-000164,179.0,21,5,1179314.36,2025-09-24,2025-10-24,Advanced context-sensitive alliance,78d66ddfb67bb9f339e9f43a02ee2c44,approved,False,
165,INV-202603-000165,180.0,21,5,3401003.27,2026-03-24,2026-04-23,Organized client-server pricing structure,63ec2d958ecdc59e35a6d32c37cc8c67,paid,False,
166,INV-202508-000166,181.0,21,2,1590426.13,2025-08-10,2025-09-09,Digitized actuating circuit,50d1539aae48e385adec399915acd038,paid,False,
167,INV-202602-000167,182.0,21,5,3020812.4,2026-02-08,2026-03-10,Object-based national emulation,1642fc557dea6f629a577b605f3a0ade,approved,False,
168,INV-202511-000168,183.0,21,7,3251849.81,2025-11-27,2025-12-27,Up-sized full-range extranet,20a3cffacffaf74d17e1b8535c1529d9,approved,False,
169,INV-202508-000169,184.0,31,5,2136335.03,2025-08-18,2025-09-17,Multi-layered real-time interface,eb4d8c881a66f7e9c467b154b066db3b,paid,False,
170,INV-202601-000170,185.0,31,3,4519652.82,2026-01-22,2026-02-21,Object-based eco-centric website,19b5a752fbae1a5a4adebf4bb72e352d,approved,False,
171,INV-202509-000171,186.0,31,3,4737048.59,2025-09-01,2025-10-01,Profound bifurcated hardware,bdd27a49fe5e2bf0fd9487b4789f0299,approved,False,
172,INV-202508-000172,187.0,31,6,4983663.17,2025-08-27,2025-09-26,Balanced tangible portal,1106ab1124f8e49f0d028ed6e18b893f,approved,False,
173,INV-202511-000173,188.0,31,8,6214056.7,2025-11-09,2025-12-09,Compatible responsive approach,eaf9310cab2c08e7cb105f86a2f21ffa,approved,False,
174,INV-202602-000174,189.0,31,2,2782321.36,2026-02-03,2026-03-05,Business-focused 3rdgeneration hub,ca1550b8ee142a518a30992cef3e0ac3,approved,False,
